Manufacturer,Class,Name,Year,Fab,Transistors (mln),Die size,Memory size,Memory speed,GFLOPS,TDP
0,Desktop,GeForce 8300 GS,2007,80,210,127,512,6.4,14.4,40
0,Desktop,GeForce 8400 GS,2007,80,210,127,512,6.4,28.8,40
0,Desktop,GeForce 8400 GS rev.2,2007,65,210,86,512,6.4,24.4,25
0,Desktop,GeForce 8400 GS rev.3,2010,40,260,57,1024,9.6,19.7,25
0,Desktop,GeForce 8500 GT,2007,80,210,127,1024,12.8,28.8,45
0,Desktop,GeForce 8600 GS,2007,80,289,169,512,12.8,75.5,47
0,Desktop,GeForce 8600 GT,2007,80,289,169,1024,22.4,76,45
0,Desktop,GeForce 8600 GTS,2007,80,289,169,512,32,92.8,71
0,Desktop,GeForce 8600 GTS,2008,65,754,324,768,38.4,264,105
0,Desktop,GeForce 8800 GTS,2007,90,681,484,640,64,228,146
0,Desktop,GeForce 8800 GT,2007,65,754,324,1024,57.6,336,125
0,Desktop,GeForce 8800 GTS G92,2007,65,754,324,512,62.1,416,135
0,Desktop,GeForce 8800 Ultra,2007,90,681,484,768,103.7,684,175
0,Desktop,GeForce 9400,2008,65,282,162,512,21.328,67.2,12
0,Desktop,GeForce 9300 GE,2008,65,210,86,256,8,20.8,25
0,Desktop,GeForce 9300 GS,2008,65,210,86,256,8,22.4,25
0,Desktop,GeForce 9400 GT,2008,55,314,144,1024,25.6,44.8,50
0,Desktop,GeForce 9500 GT,2008,65,314,144,1024,25.6,89.6,50
0,Desktop,GeForce 9600 GSO,2008,65,754,324,1536,38.4,264,84
0,Desktop,GeForce 9600 GT GE,2009,55,505,196,1024,57.6,208,59
0,Desktop,GeForce 9600 GT,2008,65,505,240,1024,57.6,208,95
0,Desktop,GeForce 9800 GT GE,2009,55,754,260,1024,57.6,308,75
0,Desktop,GeForce 9800 GT,2008,55,754,260,1024,57.6,336,125
0,Desktop,GeForce 9800 GTX,2008,65,754,324,512,70.4,432,140
0,Desktop,GeForce 9800 GTX+,2008,55,754,260,1024,70.4,470,141
0,Desktop,GeForce 9800 GTX GX2,2008,65,1508,648,1024,128,768,197
0,Desktop,GeForce 205,2009,40,260,57,512,8,22.4,30.5
0,Desktop,GeForce 210,2009,40,260,57,1024,12.8,44.9,30.5
0,Desktop,GeForce 220,2009,40,486,100,1024,25.3,130.6,58
0,Desktop,GeForce 230,2009,55,754,260,1536,24,238.5,75
0,Desktop,GeForce 240,2009,40,727,139,1024,54.4,257.3,69
0,Desktop,GeForce GTS 240,2009,55,754,260,1024,70.4,362.9,120
0,Desktop,GeForce GTS 250,2009,55,754,260,1024,70.4,470,150
0,Desktop,GeForce GTS 260,2008,55,1400,470,1792,111.9,583.2,171
0,Desktop,GeForce GTS 275,2009,55,1400,470,1792,127,674,219
0,Desktop,GeForce GTS 280,2008,65,1400,576,1024,141.7,622,236
0,Desktop,GeForce GTS 285,2009,55,1400,470,2048,159,708.48,204
0,Desktop,GeForce GTS 295,2009,55,2800,940,1792,223.8,1192.3,289
0,Desktop,GeForce 310,2009,40,260,57,512,8,44.8,30.5
0,Desktop,GeForce 315,2010,40,486,100,512,12.6,105.6,33
0,Desktop,GeForce GT 320,2010,40,727,144,1024,25.3,187.5,43
0,Desktop,GeForce GT 330,2010,40,727,144,1024,16.32,240,75
0,Desktop,GeForce GT 340,2010,40,727,144,1024,54.4,257.3,69
0,Desktop,GeForce 405,2011,40,486,100,512,12.6,105.6,30.5
0,Desktop,GeForce GT 420,2010,40,585,116,512,28.8,134.4,50
0,Desktop,GeForce GT 430,2010,40,585,116,2048,10.4,268.8,49
0,Desktop,GeForce GT 440,2011,40,585,116,1024,51.2,311.04,65
0,Desktop,GeForce GTS 450,2011,40,1170,238,1024,57.73,601.34,106
0,Desktop,GeForce GTX 460 SE,2010,40,1950,332,1024,108.8,748.8,150
0,Desktop,GeForce GTX 460,2011,40,1950,332,1024,96.2,1045.6,160
0,Desktop,GeForce GTX 465,2010,40,3000,529,1024,102.6,855.36,200
0,Desktop,GeForce GTX 470,2010,40,3000,529,1280,133.9,1088.64,215
0,Desktop,GeForce GTX 480,2010,40,3000,529,1536,177.4,1344.96,250
0,Desktop,GeForce 510,2011,40,292,79,2048,14.4,100.4,25
0,Desktop,GeForce GT 520,2011,40,292,79,2048,14.4,155.5,29
0,Desktop,GeForce GT 530,2011,40,585,116,2048,28.8,268.8,50
0,Desktop,GeForce GT 545,2011,40,1170,238,3072,43,415.07,70
0,Desktop,GeForce GTX 545 Ti,2011,40,1170,238,1536,98.5,691.2,116
0,Desktop,GeForce GTX 555,2011,40,1950,332,1024,91.9,847.9,150
0,Desktop,GeForce GTX 560 SE,2012,40,1950,332,1024,91.9,847.9,150
0,Desktop,GeForce GTX 560,2011,40,1950,332,2048,128.1,1088.6,150
0,Desktop,GeForce GTX 560 Ti,2011,40,3000,520,2560,152,1030.7,210
0,Desktop,GeForce GTX 560 Ti 448,2011,40,3000,520,1280,152,1311.7,210
